Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
165,Clear,Wednesday,Morning,Local,5,Low
70,Rainy,Thursday,Afternoon,Express,18,High
110,Foggy,Friday,Evening,Superfast,14,Medium
90,Clear,Saturday,Night,Local,0,Low
60,Rainy,Sunday,Morning,Express,7,High
200,Foggy,Monday,Afternoon,Superfast,25,Medium
190,Clear,Tuesday,Morning,Local,0,Medium
80,Rainy,Wednesday,Afternoon,Express,15,High
150,Foggy,Thursday,Evening,Superfast,20,Low
210,Clear,Friday,Night,Local,5,Medium
120,Rainy,Saturday,Morning,Express,10,High
60,Foggy,Sunday,Afternoon,Superfast,25,Low
170,Clear,Monday,Evening,Local,3,Medium
100,Rainy,Tuesday,Night,Express,8,High
140,Foggy,Wednesday,Morning,Superfast,12,Low
190,Clear,Thursday,Afternoon,Local,2,Medium
110,Rainy,Friday,Evening,Express,14,High
70,Foggy,Saturday,Night,Superfast,18,Low
180,Clear,Sunday,Morning,Local,1,Medium
90,Rainy,Monday,Afternoon,Express,16,High
130,Foggy,Tuesday,Evening,Superfast,11,Low
200,Clear,Wednesday,Night,Local,0,Medium
105,Rainy,Thursday,Morning,Express,9,High
75,Foggy,Friday,Afternoon,Superfast,17,Low
165,Clear,Saturday,Evening,Local,4,Medium
85,Rainy,Sunday,Night,Express,13,High
155,Foggy,Monday,Morning,Superfast,6,Low
215,Clear,Tuesday,Afternoon,Local,0,Medium
125,Rainy,Wednesday,Evening,Express,7,High
65,Foggy,Thursday,Night,Superfast,19,Low
175,Clear,Friday,Morning,Local,1,Medium
95,Rainy,Saturday,Afternoon,Express,18,High
145,Foggy,Sunday,Evening,Superfast,10,Low
205,Clear,Monday,Night,Local,2,Medium
115,Rainy,Tuesday,Morning,Express,15,High
55,Foggy,Wednesday,Afternoon,Superfast,21,Low
220,Clear,Thursday,Morning,Local,2,Medium
130,Rainy,Friday,Afternoon,Express,19,High
60,Foggy,Saturday,Evening,Superfast,22,Low
185,Clear,Sunday,Night,Local,1,Medium
95,Rainy,Monday,Morning,Express,20,High
150,Foggy,Tuesday,Afternoon,Superfast,23,Low
215,Clear,Wednesday,Evening,Local,0,Medium
105,Rainy,Thursday,Night,Express,21,High
75,Foggy,Friday,Morning,Superfast,24,Low
195,Clear,Saturday,Afternoon,Local,3,Medium
115,Rainy,Sunday,Evening,Express,18,High
165,Foggy,Monday,Night,Superfast,25,Low
225,Clear,Tuesday,Morning,Local,2,Medium
135,Rainy,Wednesday,Afternoon,Express,17,High
80,Foggy,Thursday,Evening,Superfast,26,Low
200,Clear,Friday,Night,Local,1,Medium
120,Rainy,Saturday,Morning,Express,16,High
70,Foggy,Sunday,Afternoon,Superfast,27,Low
210,Clear,Monday,Evening,Local,0,Medium
100,Rainy,Tuesday,Night,Express,15,High
160,Foggy,Wednesday,Morning,Superfast,22,Low
230,Clear,Thursday,Afternoon,Local,2,Medium
140,Rainy,Friday,Evening,Express,14,High
85,Foggy,Saturday,Night,Superfast,23,Low
205,Clear,Sunday,Morning,Local,1,Medium
125,Rainy,Monday,Afternoon,Express,13,High
175,Foggy,Tuesday,Evening,Superfast,24,Low
220,Clear,Wednesday,Night,Local,0,Medium
110,Rainy,Thursday,Morning,Express,12,High
65,Foggy,Friday,Afternoon,Superfast,26,Low
180,Clear,Saturday,Morning,Local,1,Medium
140,Rainy,Sunday,Afternoon,Express,17,High
90,Foggy,Monday,Evening,Superfast,28,Low
210,Clear,Tuesday,Night,Local,0,Medium
150,Rainy,Wednesday,Morning,Express,16,High
100,Foggy,Thursday,Afternoon,Superfast,25,Low
230,Clear,Friday,Evening,Local,2,Medium
120,Rainy,Saturday,Night,Express,15,High
60,Foggy,Sunday,Morning,Superfast,29,Low
190,Clear,Monday,Afternoon,Local,1,Medium
130,Rainy,Tuesday,Evening,Express,18,High
70,Foggy,Wednesday,Night,Superfast,26,Low
220,Clear,Thursday,Morning,Local,0,Medium
160,Rainy,Friday,Afternoon,Express,14,High
80,Foggy,Saturday,Evening,Superfast,27,Low
200,Clear,Sunday,Night,Local,2,Medium
110,Rainy,Monday,Morning,Express,13,High
50,Foggy,Tuesday,Afternoon,Superfast,30,Low
240,Clear,Wednesday,Evening,Local,1,Medium
170,Rainy,Thursday,Night,Express,12,High
85,Foggy,Friday,Morning,Superfast,28,Low
215,Clear,Saturday,Afternoon,Local,0,Medium
145,Rainy,Sunday,Evening,Express,11,High
95,Foggy,Monday,Night,Superfast,29,Low
235,Clear,Tuesday,Morning,Local,2,Medium
175,Rainy,Wednesday,Afternoon,Express,10,High
55,Foggy,Thursday,Evening,Superfast,27,Low
225,Clear,Friday,Night,Local,1,Medium
135,Rainy,Saturday,Morning,Express,9,High
75,Foggy,Sunday,Afternoon,Superfast,26,Low
205,Clear,Monday,Evening,Local,0,Medium
125,Rainy,Tuesday,Night,Express,8,High
65,Foggy,Wednesday,Morning,Superfast,25,Low
195,Clear,Thursday,Afternoon,Local,1,Medium
155,Rainy,Friday,Evening,Express,7,High
45,Foggy,Saturday,Night,Superfast,30,Low
245,Clear,Sunday,Morning,Local,0,Medium
165,Rainy,Monday,Afternoon,Express,6,High
105,Foggy,Tuesday,Evening,Superfast,24,Low
215,Clear,Wednesday,Night,Local,2,Medium
190,Clear,Saturday,Night,Local,2,Medium
145,Rainy,Sunday,Morning,Express,11,High
170,Foggy,Monday,Afternoon,Superfast,25,Low
235,Clear,Tuesday,Evening,Local,3,Medium
145,Rainy,Wednesday,Night,Express,10,High
90,Foggy,Thursday,Morning,Superfast,28,Low
215,Clear,Friday,Afternoon,Local,1,Medium
130,Rainy,Saturday,Evening,Express,9,High
180,Foggy,Sunday,Night,Superfast,24,Low
240,Clear,Monday,Morning,Local,2,Medium
150,Rainy,Tuesday,Afternoon,Express,8,High
100,Foggy,Wednesday,Evening,Superfast,27,Low
225,Clear,Thursday,Night,Local,1,Medium
140,Rainy,Friday,Morning,Express,7,High
95,Foggy,Saturday,Afternoon,Superfast,26,Low
205,Clear,Sunday,Evening,Local,0,Medium
120,Rainy,Monday,Night,Express,6,High
170,Foggy,Tuesday,Morning,Superfast,29,Low
245,Clear,Wednesday,Afternoon,Local,3,Medium
155,Rainy,Thursday,Evening,Express,5,High
80,Foggy,Friday,Night,Superfast,28,Low
220,Clear,Saturday,Morning,Local,0,Medium
125,Rainy,Sunday,Afternoon,Express,4,High
185,Foggy,Monday,Evening,Superfast,30,Low
250,Clear,Tuesday,Night,Local,2,Medium
160,Rainy,Wednesday,Morning,Express,3,High
110,Foggy,Thursday,Afternoon,Superfast,27,Low
230,Clear,Friday,Evening,Local,1,Medium
135,Rainy,Saturday,Night,Express,2,High
195,Foggy,Sunday,Morning,Superfast,26,Low
210,Clear,Monday,Afternoon,Local,2,Medium
115,Rainy,Tuesday,Evening,Express,3,High
175,Foggy,Wednesday,Night,Superfast,28,Low
255,Clear,Thursday,Morning,Local,1,Medium
165,Rainy,Friday,Afternoon,Express,4,High
120,Foggy,Saturday,Evening,Superfast,29,Low
225,Clear,Sunday,Night,Local,0,Medium
130,Rainy,Monday,Morning,Express,5,High
180,Foggy,Tuesday,Afternoon,Superfast,30,Low
265,Clear,Wednesday,Evening,Local,2,Medium
175,Rainy,Thursday,Night,Express,6,High
125,Foggy,Friday,Morning,Superfast,31,Low
235,Clear,Saturday,Afternoon,Local,1,Medium
140,Rainy,Sunday,Evening,Express,7,High
190,Foggy,Monday,Night,Superfast,32,Low
270,Clear,Tuesday,Morning,Local,2,Medium
185,Rainy,Wednesday,Afternoon,Express,8,High
135,Foggy,Thursday,Evening,Superfast,33,Low
245,Clear,Friday,Night,Local,1,Medium
150,Rainy,Saturday,Morning,Express,9,High
195,Foggy,Sunday,Afternoon,Superfast,34,Low
275,Clear,Monday,Evening,Local,0,Medium
190,Rainy,Tuesday,Night,Express,10,High
145,Foggy,Wednesday,Morning,Superfast,35,Low
255,Clear,Thursday,Afternoon,Local,2,Medium
160,Rainy,Friday,Evening,Express,11,High
130,Foggy,Saturday,Night,Superfast,36,Low
240,Clear,Sunday,Morning,Local,1,Medium
175,Rainy,Monday,Afternoon,Local,12,High
140,Foggy,Tuesday,Evening,Superfast,37,Low
250,Clear,Wednesday,Night,Express,2,Medium
165,Rainy,Thursday,Morning,Superfast,13,High
135,Foggy,Friday,Afternoon,Local,38,Low
235,Clear,Saturday,Evening,Express,3,Medium
180,Rainy,Sunday,Night,Superfast,14,High
145,Foggy,Monday,Morning,Local,39,Low
255,Clear,Tuesday,Afternoon,Express,4,Medium
185,Rainy,Wednesday,Evening,Superfast,15,High
150,Foggy,Thursday,Night,Local,40,Low
260,Clear,Friday,Morning,Local,5,Medium
170,Rainy,Saturday,Afternoon,Express,16,High
155,Foggy,Sunday,Evening,Superfast,41,Low
240,Clear,Monday,Night,Local,6,Medium
195,Rainy,Tuesday,Morning,Express,17,High
160,Foggy,Wednesday,Afternoon,Superfast,42,Low
265,Clear,Thursday,Evening,Local,7,Medium
200,Rainy,Friday,Night,Express,18,High
175,Foggy,Saturday,Morning,Superfast,43,Low
245,Clear,Sunday,Afternoon,Local,8,Medium
205,Rainy,Monday,Evening,Superfast,19,High
165,Foggy,Tuesday,Night,Local,44,Low
270,Clear,Wednesday,Morning,Express,9,Medium
210,Rainy,Thursday,Afternoon,Superfast,20,High
180,Foggy,Friday,Evening,Local,45,Low
250,Clear,Saturday,Night,Express,10,Medium
215,Rainy,Sunday,Morning,Superfast,21,High
185,Foggy,Monday,Afternoon,Local,46,Low
260,Clear,Tuesday,Evening,Superfast,22,Medium
220,Rainy,Wednesday,Night,Local,47,Low
195,Foggy,Thursday,Morning,Express,23,High
275,Clear,Friday,Afternoon,Local,11,Medium
230,Rainy,Saturday,Evening,Superfast,48,Low
200,Foggy,Sunday,Night,Local,24,Medium
285,Clear,Monday,Morning,Express,12,High
240,Rainy,Tuesday,Afternoon,Superfast,49,Low
205,Foggy,Wednesday,Evening,Local,25,Medium
290,Clear,Thursday,Night,Express,13,High
250,Rainy,Friday,Morning,Superfast,50,Low
210,Foggy,Saturday,Afternoon,Local,26,Medium
295,Clear,Sunday,Evening,Superfast,14,High
255,Rainy,Monday,Night,Local,51,Low
215,Foggy,Tuesday,Morning,Express,27,Medium
300,Clear,Wednesday,Afternoon,Local,15,High
260,Rainy,Thursday,Evening,Superfast,52,Low
220,Foggy,Friday,Night,Express,28,Medium
305,Clear,Saturday,Morning,Local,16,High
265,Rainy,Sunday,Afternoon,Superfast,53,Low
225,Foggy,Monday,Evening,Local,29,Medium
310,Clear,Tuesday,Night,Express,17,High
270,Rainy,Wednesday,Morning,Superfast,54,Low
230,Foggy,Thursday,Afternoon,Local,30,Medium
315,Clear,Friday,Evening,Superfast,18,High
275,Rainy,Saturday,Night,Local,55,Low
235,Foggy,Sunday,Morning,Express,31,Medium
320,Clear,Monday,Afternoon,Local,19,High
280,Rainy,Tuesday,Evening,Superfast,56,Low
240,Foggy,Wednesday,Night,Express,32,Medium
325,Clear,Thursday,Morning,Local,20,High
285,Rainy,Friday,Afternoon,Superfast,57,Low
245,Foggy,Saturday,Evening,Local,33,Medium
330,Clear,Sunday,Night,Express,21,High
290,Rainy,Monday,Morning,Superfast,58,Low
250,Foggy,Tuesday,Afternoon,Local,34,Medium
335,Clear,Wednesday,Evening,Local,22,High
295,Rainy,Thursday,Night,Superfast,59,Low
255,Foggy,Friday,Morning,Express,35,Medium
340,Clear,Saturday,Afternoon,Express,23,High
300,Rainy,Sunday,Evening,Superfast,60,Low
260,Foggy,Monday,Night,Local,36,Medium
345,Clear,Tuesday,Morning,Local,24,High
305,Rainy,Wednesday,Afternoon,Superfast,61,Low
180,Clear,Monday,Morning,Local,5,Medium
140,Rainy,Tuesday,Afternoon,Express,15,High
200,Foggy,Wednesday,Evening,Superfast,20,Low
250,Clear,Thursday,Night,Local,3,Medium
165,Rainy,Friday,Morning,Express,18,High
220,Foggy,Saturday,Afternoon,Superfast,25,Low
190,Clear,Sunday,Evening,Local,2,Medium
130,Rainy,Monday,Night,Express,16,High
210,Foggy,Tuesday,Morning,Superfast,22,Low
175,Clear,Wednesday,Afternoon,Local,4,Medium
145,Rainy,Thursday,Evening,Express,19,High
180,Foggy,Friday,Night,Superfast,26,Low
160,Clear,Saturday,Morning,Local,1,Medium
120,Rainy,Sunday,Afternoon,Express,17,High
190,Foggy,Monday,Evening,Superfast,23,Low
140,Clear,Tuesday,Night,Local,3,Medium
130,Rainy,Wednesday,Morning,Express,18,High
170,Foggy,Thursday,Afternoon,Superfast,24,Low
150,Clear,Friday,Evening,Local,2,Medium
125,Rainy,Saturday,Night,Express,15,High
160,Foggy,Sunday,Morning,Superfast,21,Low
135,Clear,Monday,Afternoon,Local,4,Medium
120,Rainy,Tuesday,Evening,Express,17,High
180,Foggy,Wednesday,Night,Superfast,25,Low
150,Clear,Thursday,Morning,Local,3,Medium
140,Rainy,Friday,Afternoon,Express,18,High
170,Foggy,Saturday,Evening,Superfast,24,Low
160,Clear,Sunday,Night,Local,2,Medium
110,Rainy,Monday,Morning,Express,16,High
150,Foggy,Tuesday,Afternoon,Superfast,23,Low
145,Clear,Wednesday,Evening,Local,1,Medium
100,Rainy,Thursday,Night,Express,15,High
160,Foggy,Friday,Morning,Superfast,22,Low
150,Clear,Saturday,Afternoon,Local,2,Medium
120,Rainy,Sunday,Evening,Express,17,High
170,Foggy,Monday,Night,Superfast,24,Low
155,Clear,Tuesday,Morning,Local,3,Medium
110,Rainy,Wednesday,Afternoon,Express,16,High
160,Foggy,Thursday,Evening,Superfast,23,Low
140,Clear,Friday,Night,Local,1,Medium
100,Rainy,Saturday,Morning,Express,15,High
150,Foggy,Sunday,Afternoon,Superfast,22,Low
145,Clear,Monday,Evening,Local,2,Medium
110,Rainy,Tuesday,Night,Express,16,High
160,Foggy,Wednesday,Morning,Superfast,23,Low
140,Clear,Thursday,Afternoon,Local,1,Medium
100,Rainy,Friday,Evening,Express,15,High
180,Clear,Saturday,Morning,Local,1,Medium
140,Rainy,Sunday,Afternoon,Express,17,High
90,Foggy,Monday,Evening,Superfast,28,Low
210,Clear,Tuesday,Night,Local,0,Medium
150,Rainy,Wednesday,Morning,Express,16,High
100,Foggy,Thursday,Afternoon,Superfast,25,Low
230,Clear,Friday,Evening,Local,2,Medium
120,Rainy,Saturday,Night,Express,15,High
60,Foggy,Sunday,Morning,Superfast,29,Low
190,Clear,Monday,Afternoon,Local,1,Medium
130,Rainy,Tuesday,Evening,Express,18,High
70,Foggy,Wednesday,Night,Superfast,26,Low
220,Clear,Thursday,Morning,Local,0,Medium
160,Rainy,Friday,Afternoon,Express,14,High
80,Foggy,Saturday,Evening,Superfast,27,Low
200,Clear,Sunday,Night,Local,2,Medium
110,Rainy,Monday,Morning,Express,13,High
50,Foggy,Tuesday,Afternoon,Superfast,30,Low
240,Clear,Wednesday,Evening,Local,1,Medium
170,Rainy,Thursday,Night,Express,12,High
85,Foggy,Friday,Morning,Superfast,28,Low
215,Clear,Saturday,Afternoon,Local,0,Medium
145,Rainy,Sunday,Evening,Express,11,High
95,Foggy,Monday,Night,Superfast,29,Low
235,Clear,Tuesday,Morning,Local,2,Medium
175,Rainy,Wednesday,Afternoon,Express,10,High
55,Foggy,Thursday,Evening,Superfast,27,Low
225,Clear,Friday,Night,Local,1,Medium
135,Rainy,Saturday,Morning,Express,9,High
75,Foggy,Sunday,Afternoon,Superfast,26,Low
205,Clear,Monday,Evening,Local,0,Medium
125,Rainy,Tuesday,Night,Express,8,High
65,Foggy,Wednesday,Morning,Superfast,25,Low
195,Clear,Thursday,Afternoon,Local,1,Medium
155,Rainy,Friday,Evening,Express,7,High
45,Foggy,Saturday,Night,Superfast,30,Low
245,Clear,Sunday,Morning,Local,0,Medium
165,Rainy,Monday,Afternoon,Express,6,High
105,Foggy,Tuesday,Evening,Superfast,24,Low
215,Clear,Wednesday,Night,Local,2,Medium
250,Clear,Thursday,Morning,Local,1,Medium
180,Rainy,Friday,Afternoon,Express,5,High
110,Foggy,Saturday,Evening,Superfast,23,Low
230,Clear,Sunday,Night,Local,0,Medium
170,Rainy,Monday,Morning,Express,4,High
90,Foggy,Tuesday,Afternoon,Superfast,22,Low
240,Clear,Wednesday,Evening,Local,2,Medium
160,Rainy,Thursday,Night,Express,3,High
100,Foggy,Friday,Morning,Superfast,21,Low
220,Clear,Saturday,Afternoon,Local,0,Medium
150,Rainy,Sunday,Evening,Express,2,High
80,Foggy,Monday,Night,Superfast,20,Low
235,Clear,Tuesday,Morning,Local,1,Medium
140,Rainy,Wednesday,Afternoon,Express,6,High
70,Foggy,Thursday,Evening,Superfast,19,Low
245,Clear,Friday,Night,Local,0,Medium
130,Rainy,Saturday,Morning,Express,5,High
60,Foggy,Sunday,Afternoon,Superfast,18,Low
215,Clear,Monday,Evening,Local,2,Medium
120,Rainy,Tuesday,Night,Express,4,High
50,Foggy,Wednesday,Morning,Superfast,17,Low
230,Clear,Thursday,Afternoon,Local,1,Medium
165,Rainy,Friday,Evening,Express,3,High
85,Foggy,Saturday,Night,Superfast,16,Low
255,Clear,Sunday,Morning,Local,0,Medium
175,Rainy,Monday,Afternoon,Express,7,High
95,Foggy,Tuesday,Evening,Superfast,15,Low
225,Clear,Wednesday,Night,Local,1,Medium
135,Rainy,Thursday,Morning,Express,6,High
55,Foggy,Friday,Afternoon,Superfast,14,Low
240,Clear,Saturday,Evening,Local,2,Medium
145,Rainy,Sunday,Night,Express,5,High
75,Foggy,Monday,Morning,Superfast,13,Low
250,Clear,Tuesday,Afternoon,Local,0,Medium
155,Rainy,Wednesday,Evening,Express,4,High
65,Foggy,Thursday,Night,Superfast,12,Low
235,Clear,Friday,Morning,Local,1,Medium
125,Rainy,Saturday,Afternoon,Express,3,High
45,Foggy,Sunday,Evening,Superfast,11,Low
215,Clear,Monday,Night,Local,2,Medium
200,Clear,Monday,Morning,Local,5,Medium
160,Rainy,Tuesday,Afternoon,Express,12,High
180,Foggy,Wednesday,Evening,Superfast,20,Low
250,Clear,Thursday,Night,Local,8,Medium
170,Rainy,Friday,Morning,Express,15,High
220,Foggy,Saturday,Afternoon,Superfast,22,Low
190,Clear,Sunday,Evening,Local,6,Medium
140,Rainy,Monday,Night,Express,16,High
210,Foggy,Tuesday,Morning,Superfast,25,Low
175,Clear,Wednesday,Afternoon,Local,7,Medium
150,Rainy,Thursday,Evening,Express,18,High
185,Foggy,Friday,Night,Superfast,23,Low
160,Clear,Saturday,Morning,Local,4,Medium
130,Rainy,Sunday,Afternoon,Express,14,High
200,Foggy,Monday,Evening,Superfast,21,Low
150,Clear,Tuesday,Night,Local,9,Medium
140,Rainy,Wednesday,Morning,Express,17,High
180,Foggy,Thursday,Afternoon,Superfast,24,Low
170,Clear,Friday,Evening,Local,8,Medium
120,Rainy,Saturday,Night,Express,19,High
190,Foggy,Sunday,Morning,Superfast,26,Low
160,Clear,Monday,Afternoon,Local,5,Medium
130,Rainy,Tuesday,Evening,Express,20,High
200,Foggy,Wednesday,Night,Superfast,27,Low
170,Clear,Thursday,Morning,Local,6,Medium
140,Rainy,Friday,Afternoon,Express,21,High
180,Foggy,Saturday,Evening,Superfast,28,Low
165,Clear,Sunday,Night,Local,7,Medium
125,Rainy,Monday,Morning,Express,22,High
190,Foggy,Tuesday,Afternoon,Superfast,29,Low
170,Clear,Wednesday,Evening,Local,8,Medium
135,Rainy,Thursday,Night,Express,23,High
180,Foggy,Friday,Morning,Superfast,30,Low
160,Clear,Saturday,Afternoon,Local,9,Medium
130,Rainy,Sunday,Evening,Express,24,High
190,Foggy,Monday,Night,Superfast,31,Low
165,Clear,Tuesday,Morning,Local,10,Medium
120,Rainy,Wednesday,Afternoon,Express,25,High
200,Foggy,Thursday,Evening,Superfast,32,Low
175,Clear,Friday,Night,Local,11,Medium
135,Rainy,Saturday,Morning,Express,26,High
180,Foggy,Sunday,Afternoon,Superfast,33,Low
160,Clear,Monday,Evening,Local,12,Medium
130,Rainy,Tuesday,Night,Express,27,High
190,Foggy,Wednesday,Morning,Superfast,34,Low
170,Clear,Thursday,Afternoon,Local,13,Medium
140,Rainy,Friday,Evening,Express,28,High
260,Clear,Tuesday,Morning,Local,0,Medium
180,Rainy,Wednesday,Afternoon,Express,2,High
95,Foggy,Thursday,Evening,Superfast,10,Low
235,Clear,Friday,Night,Local,1,Medium
145,Rainy,Saturday,Morning,Express,3,High
55,Foggy,Sunday,Afternoon,Superfast,9,Low
225,Clear,Monday,Evening,Local,0,Medium
135,Rainy,Tuesday,Night,Express,4,High
75,Foggy,Wednesday,Morning,Superfast,8,Low
245,Clear,Thursday,Afternoon,Local,2,Medium
155,Rainy,Friday,Evening,Express,5,High
65,Foggy,Saturday,Night,Superfast,7,Low
215,Clear,Sunday,Morning,Local,1,Medium
125,Rainy,Monday,Afternoon,Express,6,High
85,Foggy,Tuesday,Evening,Superfast,11,Low
255,Clear,Wednesday,Night,Local,0,Medium
165,Rainy,Thursday,Morning,Express,7,High
50,Foggy,Friday,Afternoon,Superfast,10,Low
230,Clear,Saturday,Evening,Local,2,Medium
140,Rainy,Sunday,Night,Express,8,High
90,Foggy,Monday,Morning,Superfast,9,Low
240,Clear,Tuesday,Afternoon,Local,1,Medium
150,Rainy,Wednesday,Evening,Express,7,High
100,Foggy,Thursday,Night,Superfast,12,Low
220,Clear,Friday,Morning,Local,0,Medium
130,Rainy,Saturday,Afternoon,Express,5,High
60,Foggy,Sunday,Evening,Superfast,8,Low
250,Clear,Monday,Night,Local,1,Medium
170,Rainy,Tuesday,Morning,Express,6,High
80,Foggy,Wednesday,Afternoon,Superfast,7,Low
210,Clear,Thursday,Evening,Local,2,Medium
120,Rainy,Friday,Night,Express,4,High
70,Foggy,Saturday,Morning,Superfast,9,Low
205,Clear,Sunday,Afternoon,Local,0,Medium
160,Rainy,Monday,Evening,Express,3,High
45,Foggy,Tuesday,Night,Superfast,10,Low
265,Clear,Wednesday,Morning,Local,1,Medium
175,Rainy,Thursday,Afternoon,Express,6,High
105,Foggy,Friday,Evening,Superfast,11,Low
215,Clear,Saturday,Night,Local,2,Medium
200,Clear,Saturday,Afternoon,Superfast,15,Medium
140,Rainy,Sunday,Evening,Express,20,High
180,Foggy,Monday,Night,Local,10,Low
250,Clear,Tuesday,Morning,Local,5,Medium
170,Rainy,Wednesday,Afternoon,Express,18,High
220,Foggy,Thursday,Evening,Superfast,25,Low
190,Clear,Friday,Night,Local,8,Medium
140,Rainy,Saturday,Morning,Express,17,High
210,Foggy,Sunday,Afternoon,Superfast,22,Low
175,Clear,Monday,Evening,Local,6,Medium
150,Rainy,Tuesday,Night,Express,19,High
185,Foggy,Wednesday,Morning,Superfast,23,Low
160,Clear,Thursday,Afternoon,Local,7,Medium
130,Rainy,Friday,Evening,Express,16,High
180,Foggy,Saturday,Night,Superfast,24,Low
165,Clear,Sunday,Morning,Local,9,Medium
120,Rainy,Monday,Afternoon,Express,15,High
190,Foggy,Tuesday,Evening,Superfast,20,Low
170,Clear,Wednesday,Night,Local,4,Medium
140,Rainy,Thursday,Morning,Express,14,High
180,Foggy,Friday,Afternoon,Superfast,21,Low
160,Clear,Saturday,Evening,Local,5,Medium
130,Rainy,Sunday,Night,Express,18,High
170,Foggy,Monday,Morning,Superfast,22,Low
150,Clear,Tuesday,Afternoon,Local,6,Medium
120,Rainy,Wednesday,Evening,Express,17,High
190,Foggy,Thursday,Night,Superfast,23,Low
170,Clear,Friday,Morning,Local,7,Medium
140,Rainy,Saturday,Afternoon,Express,16,High
180,Foggy,Sunday,Evening,Superfast,24,Low
160,Clear,Monday,Night,Local,8,Medium
130,Rainy,Tuesday,Morning,Express,19,High
170,Foggy,Wednesday,Afternoon,Superfast,25,Low
150,Clear,Thursday,Evening,Local,9,Medium
120,Rainy,Friday,Night,Express,20,High
190,Foggy,Saturday,Morning,Superfast,26,Low
170,Clear,Sunday,Afternoon,Local,10,Medium
140,Rainy,Monday,Evening,Express,21,High
180,Foggy,Tuesday,Night,Superfast,27,Low
160,Clear,Wednesday,Morning,Local,11,Medium
130,Rainy,Thursday,Afternoon,Express,22,High
170,Foggy,Friday,Evening,Superfast,28,Low
150,Clear,Saturday,Night,Local,12,Medium
120,Rainy,Sunday,Morning,Express,23,High
190,Foggy,Monday,Afternoon,Superfast,29,Low
170,Clear,Tuesday,Evening,Local,13,Medium
140,Rainy,Wednesday,Night,Express,24,High
200,Clear,Monday,Morning,Local,5,Medium
160,Rainy,Tuesday,Afternoon,Express,12,High
180,Foggy,Wednesday,Evening,Superfast,20,Low
250,Clear,Thursday,Night,Local,8,Medium
170,Rainy,Friday,Morning,Express,15,High
220,Foggy,Saturday,Afternoon,Superfast,22,Low
190,Clear,Sunday,Evening,Local,6,Medium
140,Rainy,Monday,Night,Express,16,High
210,Foggy,Tuesday,Morning,Superfast,25,Low
175,Clear,Wednesday,Afternoon,Local,7,Medium
150,Rainy,Thursday,Evening,Express,18,High
185,Foggy,Friday,Night,Superfast,23,Low
160,Clear,Saturday,Morning,Local,4,Medium
130,Rainy,Sunday,Afternoon,Express,14,High
200,Foggy,Monday,Evening,Superfast,21,Low
150,Clear,Tuesday,Night,Local,9,Medium
140,Rainy,Wednesday,Morning,Express,17,High
180,Foggy,Thursday,Afternoon,Superfast,24,Low
170,Clear,Friday,Evening,Local,8,Medium
120,Rainy,Saturday,Night,Express,19,High
190,Foggy,Sunday,Morning,Superfast,26,Low
160,Clear,Monday,Afternoon,Local,5,Medium
